type,dataset,channels,centroid_x,centroid_y,threshold,pixels,gid,pixels_after_threshold,height_mean,height_median,height_std,height_max,height_min
tif_multichannel,240219_dem,height,570307.258270314,4974988.12497555,,42450,12,42450,125.771330977621,125.769439697266,0.0171721142999822,125.83107,125.72342
tif_multichannel,240219_dem,height,570306.111692942,4974985.43282517,,42460,13,42460,125.795254357042,125.794639587402,0.0139278780892151,125.85555,125.75596
tif_multichannel,240219_dem,height,570304.961481594,4974982.73366016,,42752,36,42752,125.836569049401,125.836692810059,0.0160603284075142,125.92684,125.79443
tif_multichannel,240219_dem,height,570303.810950887,4974980.04146458,,42466,37,42466,125.856167286771,125.855224609375,0.0125644840307179,125.92845,125.824455
tif_multichannel,240219_dem,height,570302.664678039,4974977.34234103,,42442,60,42442,125.879082041374,125.87915802002,0.0129260693439954,125.94903,125.83942
tif_multichannel,240219_dem,height,570301.518096674,4974974.65019156,,42469,61,42469,125.91434929007,125.913482666016,0.0121995867256179,125.976654,125.87768
tif_multichannel,240219_dem,height,570300.370347459,4974971.95189612,,42561,84,42561,125.91560348676,125.915054321289,0.0108003782841713,125.96409,125.885345
tif_multichannel,240219_dem,height,570299.218827294,4974969.25800266,,42581,85,42581,125.925318804161,125.92357635498,0.0113503800225854,125.98741,125.8983
tif_multichannel,240219_dem,height,570298.071069768,4974966.55971015,,42432,108,42432,125.929982088989,125.928421020508,0.0096028692829612,125.99275,125.900536
tif_multichannel,240219_dem,height,570296.92448441,4974963.8675616,,42468,109,42468,125.938965809551,125.937187194824,0.0105913945626254,125.98685,125.90785
tif_multichannel,240219_dem,height,570295.778205566,4974961.1684394,,42430,132,42430,125.938098043837,125.93627166748,0.0109358074363014,125.99774,125.90781
tif_multichannel,240219_dem,height,570294.627672279,4974958.47624799,,42776,133,42776,125.95565270245,125.954406738281,0.0107177348141282,126.0127,125.925964
tif_multichannel,240219_dem,height,570293.477445501,4974955.77708292,,42444,156,42444,125.980645085289,125.977676391602,0.01480371600131,126.04946,125.94165
tif_multichannel,240219_dem,height,570292.330856149,4974953.08493528,,42462,157,42462,125.990391408789,125.986656188965,0.0169023921521845,126.0764,125.95225
tif_multichannel,240219_dem,height,570291.184573307,4974950.385814,,42452,180,42452,125.998704419109,125.99649810791,0.0138508632841349,126.06372,125.9517
tif_multichannel,240219_dem,height,570290.036501277,4974947.69449696,,42576,181,42576,126.010592822247,126.009979248047,0.0132157400181234,126.07673,125.97224
tif_multichannel,240219_dem,height,570288.885290303,4974944.99364008,,42550,204,42550,126.034218566392,126.0322265625,0.0184702033788638,126.113815,125.989746
tif_multichannel,240219_dem,height,570287.737211892,4974942.30231261,,42466,205,42466,126.037182687326,126.035179138184,0.0125993605470641,126.09038,125.99375
tif_multichannel,240219_dem,height,570286.590925052,4974939.60319224,,42434,228,42434,126.040297874346,126.038139343262,0.0130583942864849,126.101685,126.00539
tif_multichannel,240219_dem,height,570284.902045859,4974935.60185161,,42468,229,42468,126.048200998399,126.048004150391,0.0108052044510039,126.1211,126.01805
tif_multichannel,240219_dem,height,570283.751816012,4974932.90269081,,42739,252,42739,126.059617679403,126.061340332031,0.0127279274439972,126.09895,126.01367
tif_multichannel,240219_dem,height,570282.601266827,4974930.21049945,,42466,253,42466,126.06806621768,126.066757202148,0.0117047795174172,126.13595,126.03367
tif_multichannel,240219_dem,height,570305.886303883,4974988.70777978,,42468,11,42468,125.779127813883,125.777420043945,0.0154203421538937,125.832466,125.73585
tif_multichannel,240219_dem,height,570304.739726054,4974986.01562966,,42439,14,42439,125.800207356441,125.799758911133,0.0118143324436914,125.85277,125.760445
tif_multichannel,240219_dem,height,570303.59197407,4974983.31733603,,42582,35,42582,125.83679723827,125.836669921875,0.0124845864567182,125.90215,125.794586
tif_multichannel,240219_dem,height,570302.440457449,4974980.62344191,,42561,38,42561,125.86391297197,125.862213134766,0.0173397863462329,125.93524,125.818726
tif_multichannel,240219_dem,height,570301.292709771,4974977.92514626,,42464,59,42464,125.868747645064,125.867095947266,0.0142290948877881,125.93552,125.83101
tif_multichannel,240219_dem,height,570300.146127948,4974975.23299704,,42448,62,42448,125.895448548813,125.893569946289,0.0136811692918593,125.98192,125.85952
tif_multichannel,240219_dem,height,570298.999852641,4974972.53387419,,42465,83,42465,125.904886377016,125.904029846191,0.0102681175846933,125.94848,125.876755
tif_multichannel,240219_dem,height,570297.849317479,4974969.84167978,,42760,86,42760,125.908816651076,125.908683776855,0.0107026121116739,125.94472,125.87828
tif_multichannel,240219_dem,height,570296.699099663,4974967.14251638,,42464,107,42464,125.932637057272,125.932228088379,0.0132091697150125,125.98549,125.89959
tif_multichannel,240219_dem,height,570295.552513846,4974964.45036808,,42435,110,42435,125.939012607517,125.937339782715,0.0139941470890823,126.01106,125.90123
tif_multichannel,240219_dem,height,570294.406234541,4974961.75124613,,42462,131,42462,125.941300456879,125.93985748291,0.0119647136076499,126.01963,125.90623
tif_multichannel,240219_dem,height,570293.258161668,4974959.05991754,,42547,134,42547,125.943286248149,125.94034576416,0.0167137863145078,126.0277,125.90827
tif_multichannel,240219_dem,height,570292.106954239,4974956.35906,,42575,155,42575,125.964486200822,125.96354675293,0.0114736576456877,126.016815,125.93248
tif_multichannel,240219_dem,height,570290.958883748,4974953.66774276,,42445,158,42445,125.96944280834,125.966598510742,0.0161791129887722,126.06557,125.93187
tif_multichannel,240219_dem,height,570289.812600445,4974950.96862172,,42467,179,42467,125.979019002991,125.977783203125,0.0152402023344482,126.04087,125.939285
tif_multichannel,240219_dem,height,570288.666008639,4974948.27647478,,42441,182,42441,126.012817794114,126.008117675781,0.0198886062269593,126.11226,125.959595
tif_multichannel,240219_dem,height,570287.515777398,4974945.57731088,,42777,203,42777,126.030810949809,126.027755737305,0.0186898243490449,126.13382,125.98232
tif_multichannel,240219_dem,height,570286.365237653,4974942.88512108,,42436,206,42436,126.013243472523,126.010398864746,0.0163943482440547,126.079124,125.97722
tif_multichannel,240219_dem,height,570285.218950352,4974940.18600095,,42466,227,42466,126.014505722225,126.012588500977,0.0135914491035303,126.08691,125.98387
tif_multichannel,240219_dem,height,570283.530070476,4974936.18466069,,42449,230,42449,126.045536997338,126.043792724609,0.0166745073475325,126.13286,126.00872
tif_multichannel,240219_dem,height,570282.382300014,4974933.48637127,,42578,251,42578,126.054453003899,126.053916931152,0.0094092227573692,126.09165,126.02101
tif_multichannel,240219_dem,height,570281.230764904,4974930.79248137,,42556,254,42556,126.065067205564,126.06420135498,0.0095734902054912,126.113335,126.03267
tif_multichannel,240219_dem,height,570304.514430477,4974989.29265167,,42468,10,42468,125.755003767543,125.752922058105,0.0148359425214456,125.81081,125.71278
tif_multichannel,240219_dem,height,570303.368005949,4974986.59701486,,42655,15,42655,125.787902942211,125.786926269531,0.0137626938238461,125.839355,125.748795
tif_multichannel,240219_dem,height,570302.221580421,4974983.90137828,,42465,34,42465,125.815954315318,125.815658569336,0.0123641755178508,125.85726,125.77823
tif_multichannel,240219_dem,height,570301.073675731,4974981.20656638,,42777,39,42777,125.838265890549,125.837715148926,0.0115143855185024,125.88617,125.80292
tif_multichannel,240219_dem,height,570299.922315206,4974978.509189,,42579,58,42579,125.860471124263,125.86206817627,0.0114230539206392,125.900375,125.81827
tif_multichannel,240219_dem,height,570298.774406005,4974975.81438324,,42656,63,42656,125.894844804951,125.893463134766,0.0145998181946282,125.95699,125.86152
tif_multichannel,240219_dem,height,570297.627976481,4974973.11874757,,42466,82,42466,125.90324023925,125.903007507324,0.0120352735584821,125.95319,125.86817
tif_multichannel,240219_dem,height,570296.480067793,4974970.42393658,,42767,87,42767,125.914268010382,125.915328979492,0.0137623204126771,125.95909,125.8626
tif_multichannel,240219_dem,height,570295.328703264,4974967.72656011,,42579,106,42579,125.92933136053,125.927841186523,0.0167178123825989,126.0073,125.8797
tif_multichannel,240219_dem,height,570294.180790065,4974965.03175527,,42648,111,42648,125.937288970174,125.937255859375,0.0121378165352827,125.98666,125.88559
tif_multichannel,240219_dem,height,570293.034356545,4974962.3361205,,42460,130,42460,125.951436646255,125.951324462891,0.0116183375957428,126.00355,125.91756
tif_multichannel,240219_dem,height,570291.887922029,4974959.64048597,,42652,135,42652,125.943672043515,125.943367004395,0.0124282760559114,125.99753,125.90099
tif_multichannel,240219_dem,height,570290.737540579,4974956.94480834,,42773,154,42773,125.977357211325,125.976524353027,0.0153487173488041,126.049774,125.93226
tif_multichannel,240219_dem,height,570289.587158128,4974954.24913094,,42657,159,42657,125.978690484563,125.977073669434,0.0101387223256802,126.01912,125.94567
tif_multichannel,240219_dem,height,570288.440720613,4974951.55349709,,42468,178,42468,126.000306112838,125.999824523926,0.0111046403154156,126.03987,125.9684
tif_multichannel,240219_dem,height,570287.2942821,4974948.85786346,,42654,183,42654,126.04110986074,126.038543701172,0.018621213717564,126.136406,126.00358
tif_multichannel,240219_dem,height,570286.146361907,4974946.16306021,,42583,202,42583,126.056078716859,126.054977416992,0.0121639354882586,126.11277,126.01645
tif_multichannel,240219_dem,height,570284.994988369,4974943.46568581,,42779,207,42779,126.051380350172,126.051162719727,0.0098597620551149,126.10203,126.023766
tif_multichannel,240219_dem,height,570283.847068684,4974940.77087732,,42464,226,42464,126.069764977393,126.067115783691,0.0140879179579527,126.13098,126.03199
tif_multichannel,240219_dem,height,570282.158341875,4974936.76605049,,42661,231,42661,126.082522678793,126.081954956055,0.0099534713376136,126.12327,126.05243
tif_multichannel,240219_dem,height,570281.011897889,4974934.0704181,,42462,250,42462,126.08898544581,126.088203430176,0.0126929973138317,126.14305,126.05034
tif_multichannel,240219_dem,height,570279.861506956,4974931.37474264,,42972,255,42972,126.104463371498,126.103538513184,0.0115917255589859,126.15441,126.06424
tif_multichannel,240219_dem,height,570303.144038001,4974989.87669371,,42583,9,42583,125.755606697508,125.754692077637,0.0115190491999408,125.80341,125.721275
tif_multichannel,240219_dem,height,570301.996132339,4974987.18188729,,42653,16,42653,125.792324103815,125.791687011719,0.0123124359492056,125.84826,125.75846
tif_multichannel,240219_dem,height,570300.849706352,4974984.48625096,,42464,33,42464,125.824439525245,125.824523925781,0.0125565380139928,125.86853,125.77733
tif_multichannel,240219_dem,height,570299.701801203,4974981.7914393,,42772,40,42772,125.84491022164,125.846710205078,0.0143995541200849,125.90308,125.80239
tif_multichannel,240219_dem,height,570298.550440219,4974979.09406217,,42580,57,42580,125.87613903241,125.875816345215,0.0177055256464376,125.94139,125.823975
